Loss$,Group,CnaeSession,Uf,FundationDate,Equity,RefYearMonth,,,,
"1,000,00",G4,SAÚDE HUMANA E SERVIÇOS SOCIAIS,PI,2015,7320000,201707,,,,
0,G3,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,AM,1997,1000000,201803,,,,
"10,000,00",G3,ELETRICIDADE E GÁS,MT,1998,500000,201804,,,,
0,G1,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,SC,2001,1500000,201709,,,,
"500,00",G4,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,RJ,2015,5320000,201712,,,,
"1,000,00",G3,"TRANSPORTE, ARMAZENAGEM E CORREIO",PB,2001,7320000,201710,,,,
0,G3,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",SE,1998,15320000,201806,,,,
0,G4,ELETRICIDADE E GÁS,MA,1993,2320000,201708,,,,
0,G4,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",RS,1998,1000000,201804,,,,
"2,000,00",G5,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",AL,1998,1500000,201804,,,,
0,G2,INFORMAÇÃO E COMUNICAÇÃO,CE,1992,15320000,201707,,,,
0,G1,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",AM,1998,7320000,201801,,,,
0,G5,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,PI,1996,2320000,201801,,,,
0,G3,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",AL,2016,2320000,201709,,,,
0,G2,"TRANSPORTE, ARMAZENAGEM E CORREIO",MA,1998,1500000,201709,,,,
0,G4,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,CE,2010,5320000,201706,,,,
0,G5,ATIVIDADES IMOBILIÁRIAS,CE,2015,1500000,201711,,,,
0,G3,"TRANSPORTE, ARMAZENAGEM E CORREIO",AL,1987,5320000,201710,,,,
"20,000,00",G5,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",AP,1992,2320000,201707,,,,
"20,000,00",G4,INDÚSTRIAS EXTRATIVAS,SE,1990,15320000,201801,,,,
"20,000,00",G5,INFORMAÇÃO E COMUNICAÇÃO,MG,2015,1000000,201708,,,,
0,G4,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",PI,1998,5320000,201708,,,,
0,G4,ALOJAMENTO E ALIMENTAÇÃO,ES,2001,2320000,201712,,,,
0,G2,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,RN,1997,5320000,201712,,,,
"500,00",G2,INDÚSTRIAS EXTRATIVAS,MT,1993,1000000,201706,,,,
"20,000,00",G1,ELETRICIDADE E GÁS,DF,2010,2320000,201708,,,,
0,G5,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",AC,2016,500000,201709,,,,
0,G4,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",GO,1997,2320000,201708,,,,
0,G2,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,MS,2010,15320000,201803,,,,
0,G1,SERVIÇOS DOMÉSTICOS,PI,2001,2320000,201711,,,,
0,G1,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",PR,1996,15320000,201707,,,,
0,G1,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",RR,1990,7320000,201803,,,,
0,G2,"TRANSPORTE, ARMAZENAGEM E CORREIO",AP,2015,2320000,201802,,,,
0,G4,CONSTRUÇÃO,SP,2015,1000000,201707,,,,
"2,000,00",G1,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",MG,2016,2320000,201707,,,,
"1,000,00",G4,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",AM,1998,2320000,201712,,,,
"2,000,00",G5,ELETRICIDADE E GÁS,BA,1993,5320000,201804,,,,
0,G1,ATIVIDADES IMOBILIÁRIAS,MG,1996,1000000,201712,,,,
0,G2,ATIVIDADES IMOBILIÁRIAS,PA,1998,2320000,201712,,,,
0,G1,ALOJAMENTO E ALIMENTAÇÃO,PA,1998,7320000,201804,,,,
0,G3,ATIVIDADES IMOBILIÁRIAS,PR,1990,5320000,201801,,,,
0,G4,INFORMAÇÃO E COMUNICAÇÃO,RN,1998,5320000,201707,,,,
0,G1,OUTRAS ATIVIDADES DE SERVIÇOS,CE,1990,2320000,201711,,,,
"10,000,00",G5,INFORMAÇÃO E COMUNICAÇÃO,MT,1997,7320000,201708,,,,
0,G5,SERVIÇOS DOMÉSTICOS,AP,1997,5320000,201805,,,,
0,G1,ATIVIDADES IMOBILIÁRIAS,MT,1996,1000000,201710,,,,
0,G2,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",MA,1992,7320000,201802,,,,
0,G5,OUTRAS ATIVIDADES DE SERVIÇOS,AM,1996,1500000,201804,,,,
0,G4,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,RJ,1990,2320000,201711,,,,
"20,000,00",G4,INDÚSTRIAS EXTRATIVAS,SE,1993,2320000,201803,,,,
"500,00",G2,SERVIÇOS DOMÉSTICOS,PE,1990,15320000,201806,,,,
0,G3,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,RR,1996,2320000,201806,,,,
0,G3,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",DF,2015,1000000,201802,,,,
"1,000,00",G1,INDÚSTRIAS EXTRATIVAS,RN,1992,1500000,201805,,,,
0,G1,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,BA,2010,2320000,201806,,,,
0,G1,ALOJAMENTO E ALIMENTAÇÃO,PE,1998,5320000,201707,,,,
"2,000,00",G2,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",PA,1998,15320000,201804,,,,
"10,000,00",G1,"TRANSPORTE, ARMAZENAGEM E CORREIO",AP,1998,2320000,201712,,,,
"1,000,00",G3,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,PA,1998,7320000,201709,,,,
0,G2,SERVIÇOS DOMÉSTICOS,CE,1998,2320000,201709,,,,
"2,000,00",G3,ELETRICIDADE E GÁS,GO,1998,2320000,201708,,,,
0,G5,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",PE,1991,2320000,201801,,,,
"500,00",G4,ATIVIDADES IMOBILIÁRIAS,PA,1998,1000000,201706,,,,
"1,000,00",G2,INDÚSTRIAS DE TRANSFORMAÇÃO,PI,2015,7320000,201803,,,,
"2,000,00",G5,CONSTRUÇÃO,SE,1990,15320000,201803,,,,
0,G2,ATIVIDADES IMOBILIÁRIAS,PI,1998,500000,201707,,,,
0,G1,"TRANSPORTE, ARMAZENAGEM E CORREIO",MG,2001,2320000,201712,,,,
0,G3,SAÚDE HUMANA E SERVIÇOS SOCIAIS,GO,1987,15320000,201711,,,,
"10,000,00",G4,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,PI,1996,2320000,201805,,,,
0,G1,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",SP,2015,2320000,201710,,,,
"10,000,00",G2,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",MA,1992,5320000,201708,,,,
0,G5,OUTRAS ATIVIDADES DE SERVIÇOS,RR,1998,500000,201803,,,,
0,G4,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",AL,2001,2320000,201802,,,,
0,G1,INDÚSTRIAS EXTRATIVAS,AC,1996,1000000,201711,,,,
0,G5,ELETRICIDADE E GÁS,AL,2010,2320000,201803,,,,
0,G4,INFORMAÇÃO E COMUNICAÇÃO,RJ,2015,5320000,201804,,,,
0,G1,SERVIÇOS DOMÉSTICOS,RJ,1998,7320000,201801,,,,
0,G3,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",RJ,1998,1000000,201801,,,,
0,G4,INDÚSTRIAS DE TRANSFORMAÇÃO,MA,2001,1500000,201710,,,,
0,G4,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",RO,2016,15320000,201712,,,,
0,G3,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,MA,2001,1000000,201805,,,,
"1,000,00",G1,ELETRICIDADE E GÁS,SP,1992,5320000,201711,,,,
0,G2,"TRANSPORTE, ARMAZENAGEM E CORREIO",PE,2010,2320000,201710,,,,
0,G4,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",AM,1998,1500000,201802,,,,
"20,000,00",G1,ALOJAMENTO E ALIMENTAÇÃO,AC,1998,15320000,201712,,,,
0,G4,ELETRICIDADE E GÁS,TO,2001,1500000,201806,,,,
0,G3,ALOJAMENTO E ALIMENTAÇÃO,AM,1998,500000,201802,,,,
0,G4,ALOJAMENTO E ALIMENTAÇÃO,PB,1998,2320000,201709,,,,
0,G5,CONSTRUÇÃO,RO,2001,1000000,201710,,,,
0,G1,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",MA,1998,1500000,201712,,,,
"500,00",G4,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,DF,1998,500000,201711,,,,
"2,000,00",G2,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",PR,1998,2320000,201708,,,,
0,G2,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",RO,1996,1000000,201708,,,,
0,G1,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",AP,1992,2320000,201709,,,,
0,G2,INFORMAÇÃO E COMUNICAÇÃO,SP,1992,2320000,201803,,,,
0,G1,OUTRAS ATIVIDADES DE SERVIÇOS,RO,1998,2320000,201706,,,,
"10,000,00",G3,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",MG,2016,2320000,201709,,,,
0,G5,ELETRICIDADE E GÁS,AL,1993,1500000,201803,,,,
0,G2,INDÚSTRIAS DE TRANSFORMAÇÃO,SC,1998,15320000,201710,,,,
0,G5,SERVIÇOS DOMÉSTICOS,SP,2016,1000000,201804,,,,
0,G2,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,SP,1998,2320000,201801,,,,
"2,000,00",G1,INDÚSTRIAS EXTRATIVAS,ES,1998,1000000,201801,,,,
0,G1,INDÚSTRIAS DE TRANSFORMAÇÃO,RS,1998,2320000,201805,,,,
0,G4,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",MG,1998,500000,201707,,,,
"500,00",G3,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",AP,1996,5320000,201712,,,,
"1,000,00",G1,SAÚDE HUMANA E SERVIÇOS SOCIAIS,AM,1997,7320000,201710,,,,
"1,000,00",G1,INDÚSTRIAS DE TRANSFORMAÇÃO,RR,1998,2320000,201805,,,,
0,G4,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,AC,1991,2320000,201711,,,,
"500,00",G3,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",DF,1998,500000,201707,,,,
0,G2,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",MS,1997,5320000,201706,,,,
0,G5,INFORMAÇÃO E COMUNICAÇÃO,PR,1997,5320000,201707,,,,
0,G4,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,MG,1991,1000000,201806,,,,
0,G1,ALOJAMENTO E ALIMENTAÇÃO,MT,1990,1500000,201803,,,,
0,G4,ALOJAMENTO E ALIMENTAÇÃO,PR,1993,1500000,201706,,,,
0,G2,EDUCAÇÃO,MG,1997,2320000,201805,,,,
0,G3,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",SC,2015,1500000,201707,,,,
0,G2,INFORMAÇÃO E COMUNICAÇÃO,AC,2015,2320000,201803,,,,
"10,000,00",G5,ELETRICIDADE E GÁS,RS,1997,7320000,201706,,,,
"1,000,00",G2,ATIVIDADES IMOBILIÁRIAS,MT,1992,500000,201802,,,,
0,G5,SERVIÇOS DOMÉSTICOS,BA,1998,15320000,201712,,,,
"500,00",G1,SAÚDE HUMANA E SERVIÇOS SOCIAIS,SC,1998,2320000,201709,,,,
0,G4,ALOJAMENTO E ALIMENTAÇÃO,RR,1998,5320000,201709,,,,
0,G4,SERVIÇOS DOMÉSTICOS,SC,1998,1000000,201707,,,,
0,G2,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",MT,1997,500000,201710,,,,
0,G4,INFORMAÇÃO E COMUNICAÇÃO,MG,1997,2320000,201803,,,,
0,G5,ELETRICIDADE E GÁS,MS,2015,1000000,201710,,,,
0,G4,EDUCAÇÃO,BA,1996,2320000,201802,,,,
0,G2,EDUCAÇÃO,MG,1998,7320000,201806,,,,
"10,000,00",G3,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",TO,1998,5320000,201706,,,,
0,G2,ATIVIDADES IMOBILIÁRIAS,AP,1991,1500000,201706,,,,
0,G2,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,PA,2010,1500000,201710,,,,
0,G3,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,SE,2015,2320000,201709,,,,
"20,000,00",G2,OUTRAS ATIVIDADES DE SERVIÇOS,RS,2001,2320000,201707,,,,
0,G3,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",TO,1998,2320000,201709,,,,
0,G4,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",MG,2015,1500000,201709,,,,
0,G5,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",AM,2016,5320000,201710,,,,
"1,000,00",G4,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",GO,2016,2320000,201802,,,,
0,G3,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",AL,2010,1000000,201804,,,,
0,G2,SAÚDE HUMANA E SERVIÇOS SOCIAIS,PI,1996,2320000,201803,,,,
0,G2,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",PR,1991,5320000,201709,,,,
0,G5,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,SC,1998,5320000,201711,,,,
0,G1,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",PA,2015,15320000,201707,,,,
0,G1,INDÚSTRIAS DE TRANSFORMAÇÃO,DF,1996,2320000,201706,,,,
0,G5,"TRANSPORTE, ARMAZENAGEM E CORREIO",MA,1992,5320000,201805,,,,
0,G4,OUTRAS ATIVIDADES DE SERVIÇOS,AL,1998,15320000,201708,,,,
0,G1,EDUCAÇÃO,MS,1998,7320000,201806,,,,
0,G3,ATIVIDADES IMOBILIÁRIAS,SE,1991,5320000,201712,,,,
0,G3,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",AP,1987,2320000,201710,,,,
0,G3,ALOJAMENTO E ALIMENTAÇÃO,AC,1996,500000,201706,,,,
"10,000,00",G2,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,GO,2010,2320000,201711,,,,
"500,00",G3,ALOJAMENTO E ALIMENTAÇÃO,RO,1998,2320000,201806,,,,
0,G5,ATIVIDADES IMOBILIÁRIAS,RJ,1996,1500000,201802,,,,
0,G5,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",AL,1997,5320000,201710,,,,
"10,000,00",G5,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,MS,2010,5320000,201712,,,,
"1,000,00",G5,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",RR,1998,2320000,201803,,,,
"2,000,00",G3,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,AC,1997,7320000,201802,,,,
0,G3,OUTRAS ATIVIDADES DE SERVIÇOS,MG,2010,2320000,201804,,,,
0,G5,"TRANSPORTE, ARMAZENAGEM E CORREIO",SP,1997,2320000,201802,,,,
0,G3,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,PI,2015,5320000,201803,,,,
"10,000,00",G3,CONSTRUÇÃO,RR,2001,7320000,201806,,,,
"2,000,00",G2,SAÚDE HUMANA E SERVIÇOS SOCIAIS,RS,1992,15320000,201806,,,,
0,G2,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,RN,2016,1000000,201707,,,,
"20,000,00",G2,INFORMAÇÃO E COMUNICAÇÃO,PA,2010,500000,201708,,,,
"10,000,00",G4,EDUCAÇÃO,PA,1998,5320000,201711,,,,
0,G1,INDÚSTRIAS DE TRANSFORMAÇÃO,TO,1992,1000000,201707,,,,
0,G3,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,MG,1998,1000000,201803,,,,
"20,000,00",G2,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",RO,2016,2320000,201803,,,,
0,G4,INFORMAÇÃO E COMUNICAÇÃO,PE,2010,2320000,201803,,,,
0,G4,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,RJ,1997,5320000,201806,,,,
"500,00",G3,SERVIÇOS DOMÉSTICOS,PA,1997,2320000,201711,,,,
"1,000,00",G4,SERVIÇOS DOMÉSTICOS,MS,1991,2320000,201712,,,,
0,G2,INDÚSTRIAS DE TRANSFORMAÇÃO,PR,1998,5320000,201803,,,,
0,G5,ELETRICIDADE E GÁS,AC,1998,2320000,201804,,,,
"10,000,00",G4,ELETRICIDADE E GÁS,RS,1992,2320000,201709,,,,
0,G1,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,GO,1996,2320000,201806,,,,
0,G5,INDÚSTRIAS EXTRATIVAS,TO,1991,7320000,201806,,,,
0,G4,INDÚSTRIAS DE TRANSFORMAÇÃO,PE,1996,2320000,201710,,,,
0,G2,"TRANSPORTE, ARMAZENAGEM E CORREIO",RN,1997,500000,201801,,,,
0,G1,SAÚDE HUMANA E SERVIÇOS SOCIAIS,CE,1998,1000000,201708,,,,
0,G5,INFORMAÇÃO E COMUNICAÇÃO,MT,2016,15320000,201802,,,,
"10,000,00",G2,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",MS,1998,500000,201709,,,,
0,G1,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",MS,2016,2320000,201803,,,,
"500,00",G3,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",PR,1993,1000000,201711,,,,
0,G1,SAÚDE HUMANA E SERVIÇOS SOCIAIS,ES,1998,1000000,201805,,,,
0,G5,INFORMAÇÃO E COMUNICAÇÃO,RJ,1996,500000,201802,,,,
0,G2,OUTRAS ATIVIDADES DE SERVIÇOS,AP,2015,500000,201707,,,,
0,G2,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,PE,1996,15320000,201710,,,,
"1,000,00",G4,ELETRICIDADE E GÁS,SC,1992,2320000,201708,,,,
"10,000,00",G5,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,SC,1996,1000000,201803,,,,
"2,000,00",G5,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",MT,1998,7320000,201804,,,,
"2,000,00",G2,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",PB,1998,2320000,201804,,,,
0,G2,INDÚSTRIAS EXTRATIVAS,PI,1998,500000,201709,,,,
0,G3,INFORMAÇÃO E COMUNICAÇÃO,RR,1998,2320000,201804,,,,
0,G5,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",TO,1996,5320000,201710,,,,
0,G4,EDUCAÇÃO,RJ,1990,2320000,201802,,,,
0,G3,CONSTRUÇÃO,RJ,2016,1000000,201706,,,,
0,G4,EDUCAÇÃO,PA,1987,1000000,201806,,,,
0,G2,ALOJAMENTO E ALIMENTAÇÃO,RS,1991,5320000,201805,,,,
0,G4,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,AM,1996,2320000,201711,,,,
0,G2,ALOJAMENTO E ALIMENTAÇÃO,GO,1998,500000,201712,,,,
"1,000,00",G3,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",RO,2015,5320000,201708,,,,
"500,00",G3,EDUCAÇÃO,PR,1998,7320000,201706,,,,
0,G3,SAÚDE HUMANA E SERVIÇOS SOCIAIS,RR,1998,2320000,201708,,,,
"20,000,00",G4,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",MS,1998,5320000,201707,,,,
0,G3,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",SC,1998,1000000,201803,,,,
"2,000,00",G1,INDÚSTRIAS EXTRATIVAS,MT,1993,2320000,201711,,,,
0,G4,SERVIÇOS DOMÉSTICOS,SC,2001,5320000,201706,,,,
0,G4,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",SE,1996,1000000,201708,,,,
0,G2,SAÚDE HUMANA E SERVIÇOS SOCIAIS,AM,2001,1500000,201801,,,,
"1,000,00",G4,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,RN,1987,2320000,201709,,,,
"2,000,00",G2,INDÚSTRIAS EXTRATIVAS,GO,1996,2320000,201709,,,,
"2,000,00",G2,CONSTRUÇÃO,PB,1993,1500000,201803,,,,
"1,000,00",G1,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,ES,1998,2320000,201710,,,,
"10,000,00",G1,SAÚDE HUMANA E SERVIÇOS SOCIAIS,PE,1998,1000000,201707,,,,
"2,000,00",G4,INDÚSTRIAS EXTRATIVAS,RO,1987,500000,201803,,,,
0,G3,"TRANSPORTE, ARMAZENAGEM E CORREIO",DF,1998,1000000,201708,,,,
0,G2,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",AM,1997,5320000,201801,,,,
0,G4,"TRANSPORTE, ARMAZENAGEM E CORREIO",SP,1997,1000000,201806,,,,
0,G1,SAÚDE HUMANA E SERVIÇOS SOCIAIS,SE,1998,5320000,201803,,,,
0,G4,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,PE,1998,7320000,201806,,,,
"1,000,00",G4,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",AM,2015,2320000,201712,,,,
0,G2,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",MS,1998,1000000,201802,,,,
"10,000,00",G2,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",ES,2010,5320000,201806,,,,
"20,000,00",G4,INFORMAÇÃO E COMUNICAÇÃO,AM,1996,5320000,201708,,,,
"500,00",G4,INDÚSTRIAS DE TRANSFORMAÇÃO,ES,1997,1500000,201711,,,,
0,G3,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",TO,1997,500000,201805,,,,
0,G4,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,RJ,1997,2320000,201805,,,,
"20,000,00",G1,ALOJAMENTO E ALIMENTAÇÃO,SC,2015,1500000,201707,,,,
0,G3,ATIVIDADES IMOBILIÁRIAS,BA,1998,1000000,201801,,,,
0,G4,ATIVIDADES IMOBILIÁRIAS,AM,1997,1000000,201803,,,,
0,G2,INFORMAÇÃO E COMUNICAÇÃO,MT,1992,1500000,201801,,,,
"2,000,00",G5,ALOJAMENTO E ALIMENTAÇÃO,PE,2015,2320000,201706,,,,
"2,000,00",G5,INDÚSTRIAS EXTRATIVAS,PR,2015,7320000,201801,,,,
0,G3,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,AP,1991,7320000,201709,,,,
0,G3,SERVIÇOS DOMÉSTICOS,BA,1998,5320000,201706,,,,
0,G3,"TRANSPORTE, ARMAZENAGEM E CORREIO",PE,1998,2320000,201710,,,,
0,G4,ATIVIDADES IMOBILIÁRIAS,SC,2015,1000000,201707,,,,
0,G4,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,MT,1996,2320000,201806,,,,
0,G1,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,AC,2001,5320000,201709,,,,
"500,00",G4,SERVIÇOS DOMÉSTICOS,PR,2015,15320000,201707,,,,
0,G1,SAÚDE HUMANA E SERVIÇOS SOCIAIS,CE,2015,5320000,201706,,,,
0,G5,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",RJ,2016,1000000,201803,,,,
0,G4,SERVIÇOS DOMÉSTICOS,AP,1998,2320000,201709,,,,
"10,000,00",G4,INDÚSTRIAS DE TRANSFORMAÇÃO,PI,1992,2320000,201711,,,,
"500,00",G2,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",PI,1987,2320000,201712,,,,
0,G3,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,RJ,2010,500000,201803,,,,
0,G3,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",RR,1991,1000000,201708,,,,
0,G4,OUTRAS ATIVIDADES DE SERVIÇOS,PI,1987,500000,201707,,,,
0,G5,INDÚSTRIAS DE TRANSFORMAÇÃO,RO,1998,5320000,201806,,,,
"2,000,00",G5,ALOJAMENTO E ALIMENTAÇÃO,AL,1997,2320000,201804,,,,
"2,000,00",G2,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,RJ,1998,500000,201802,,,,
0,G3,CONSTRUÇÃO,AP,2001,7320000,201711,,,,
0,G4,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",RO,1996,7320000,201711,,,,
"20,000,00",G3,CONSTRUÇÃO,MS,2015,1000000,201706,,,,
0,G3,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,AM,1992,2320000,201708,,,,
"20,000,00",G3,INFORMAÇÃO E COMUNICAÇÃO,RJ,1990,1500000,201802,,,,
